place_id,name,address,rating,total_ratings,latitude,longitude,opening_hours,timestamp
ChIJe5l5V3Bt5kcRqc40x18TBl8,Impact Berliner Kebap,"42 Rue du Faubourg du Temple, 75011 Paris, France",4.6,66,48.8692369,2.3689042,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: Closed,2025-02-25 21:25:53
ChIJORRcZQBv5kcRcGl4vmkpBeo,Berliner Das Original,"30 Bd de Clichy, 75018 Paris, France",4.3,252,48.88277540000001,2.3368298,"Monday: 12:00 – 2:00 AM, 11:30 AM – 12:00 AM; Tuesday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Wednesday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Thursday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Friday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Saturday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Sunday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM",2025-02-25 21:25:53
ChIJ-0-6JkNv5kcRL12pd962ZIM,Unik Berliner - Paris Châtelet,"11 Rue de la Ferronnerie, 75001 Paris, France",4.8,299,48.8601689,2.3476766,"Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Sunday: 12:00 – 6:00 AM",2025-02-25 21:25:53
ChIJR5FrLEtt5kcREqmkoSh5CqE,Meister,"155 Rue de Crimée, 75019 Paris, France",4.6,644,48.8877771,2.3800086,Monday: 11:30 AM – 1:00 AM; Tuesday: 11:30 AM – 1:00 AM; Wednesday: 11:30 AM – 1:00 AM; Thursday: 11:30 AM – 1:00 AM; Friday: 11:30 AM – 2:00 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 12:00 PM – 1:00 AM,2025-02-25 21:25:53
ChIJDXSV0PFz5kcRAFPl4hedFFU,Sürpriz,"5 Rue de la Roquette, 75011 Paris, France",4.7,183,48.8539007,2.3707264,"Monday: 11:30 AM – 3:30 PM, 6:00 PM – 12:00 AM; Tuesday: 11:30 AM – 3:30 PM, 6:00 PM – 1:00 AM; Wednesday: 11:30 AM – 3:30 PM, 6:00 PM – 1:00 AM; Thursday: 11:30 AM – 3:30 PM, 6:00 PM – 1:00 AM; Friday: 11:30 AM – 3:30 PM, 6:00 PM – 2:00 AM; Saturday: 11:30 AM – 4:30 PM, 6:30 PM – 2:00 AM; Sunday: 11:30 AM – 4:30 PM, 6:30 PM – 12:30 AM",2025-02-25 21:25:53
ChIJYYoVlgBv5kcRZkd7xd-BKiI,Los Brothers,"73 Rue St Denis, 75001 Paris, France",4.5,6679,48.8616721,2.3489203,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM; Thursday: 11:00 AM – 2:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: 11:00 AM – 2:00 AM,2025-02-25 21:25:53
ChIJo4b0R1lz5kcRaLBxyGBH9AU,GEMS Kebab berliner,"102 Rue du Faubourg Saint-Antoine, 75012 Paris, France",4.7,339,48.8510558,2.3766215,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM; Thursday: 11:00 AM – 2:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: 11:00 AM – 2:00 AM,2025-02-25 21:25:53
ChIJ3W0NvJ5v5kcR8h-_liZTcDg,C KEBAB Paris,"13 Boulevard St Denis, 75002 Paris, France",4.7,533,48.8692783,2.3537406,Monday: 11:30 AM – 11:45 PM; Tuesday: 11:30 AM – 11:45 PM; Wednesday: 11:30 AM – 11:45 PM; Thursday: 11:30 AM – 11:45 PM; Friday: 11:30 AM – 11:45 PM; Saturday: 11:30 AM – 11:45 PM; Sunday: 11:30 AM – 11:45 PM,2025-02-25 21:25:53
ChIJBaT7vxVv5kcRb-GoQpDMSXE,Vegan Berliner House | Kebab Vegan,"26 Rue Sainte-Foy, 75002 Paris, France",4.3,42,48.8688058,2.3518026,"Monday: 11:30 AM – 3:00 PM, 6:30 – 10:30 PM; Tuesday: 11:30 AM – 3:00 PM, 6:30 – 10:30 PM; Wednesday: 11:30 AM – 3:00 PM, 6:30 – 10:30 PM; Thursday: 11:30 AM – 3:00 PM, 6:30 – 10:30 PM; Friday: 11:30 AM – 3:00 PM, 6:30 – 11:30 PM; Saturday: 12:00 – 11:30 PM; Sunday: 12:00 – 11:30 PM",2025-02-25 21:25:56
ChIJF35ZZw9u5kcRfvosd86qDLc,B. Bell broche,"74 R. de Turbigo, 75003 Paris, France",4.3,717,48.86643189999999,2.3608084,Monday: 12:00 – 10:30 PM; Tuesday: 12:00 – 10:30 PM; Wednesday: 12:00 – 10:30 PM; Thursday: 12:00 – 10:30 PM; Friday: 12:00 – 10:30 PM; Saturday: 12:00 – 10:30 PM; Sunday: Closed,2025-02-25 21:25:56
