name,address,rating,total_ratings,place_id,latitude,longitude
Le Bosphore Restaurant Spécialités Turques,"9 Rue Louise Thuliez, 75019 Paris, France",0.0,0,ChIJq259V75t5kcRY2qvGjZAwLs,48.87766380000001,2.3947635
Le Classico,"133 Rue Gabriel Péri, 93200 Saint-Denis, France",5.0,15,ChIJp50KlcNp5kcRxnbCmsbjoqU,48.9405741,2.3564278
Le Constant - Les 3 broches,"11bis Rue Roger Salengro, 94270 Le Kremlin-Bicêtre, France",4.5,279,ChIJH0j_tbFx5kcRfbkr-EL-XaQ,48.8147898,2.3620142
Le Mezze du chef çig köfte,"80 Rue de Ménilmontant, 75020 Paris, France",4.5,815,ChIJwxxWM5Nt5kcR7Wr-w2nMCgY,48.86884630000001,2.3906898
Le Mondial - Meilleur kebab de Paris,"190 bis Av. de Clichy, 75017 Paris, France",4.4,474,ChIJo18p6qhv5kcRITPlxEutaEA,48.8938967,2.3147238
Le Pacha,"24 Av. de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",4.3,1452,ChIJIxrndX9x5kcRORwFOtmScTQ,48.8145987,2.3605538
Le Paristanbul,"37 Rue des Petits Carreaux, 75002 Paris, France",4.3,222,ChIJVduhlhdu5kcRI9vF10vMi10,48.8677212,2.3472734
Le Rapide,"8 Rue du Faubourg Montmartre, 75009 Paris, France",3.6,167,ChIJB4YJbBFu5kcRiRA6P03AUzU,48.8721155,2.3433099
Le Royal Palace,"337 Rue de Vaugirard, 75015 Paris, France",4.1,378,ChIJmXdeThVw5kcRCBJXhmdQo9c,48.8374268,2.2970521
Le Ryad,"199 Rue de Crimée, 75019 Paris, France",4.4,69,ChIJ_dOIECxt5kcR0zvUq7mjEKs,48.8913818,2.375761
Le Village - Hamburger Kebab Pizza,"1 Rue André Chénier, 92130 Issy-les-Moulineaux, France",3.7,120,ChIJUST3lBZ75kcRo6mwBQdKHdc,48.82368349999999,2.2729011
Le gourmet. Kebab tacos pizza hamburger,"48 Bd Gouvion-Saint-Cyr, 75017 Paris, France",5.0,2,ChIJUdDz21tv5kcRGkDSOIzl_AI,48.8811067,2.2853755
Les Délices d'Amour,"3 Av. Jean Jaurès, 75019 Paris, France",4.0,1023,ChIJW1B199ht5kcR9yPCnGdIE80,48.8832079,2.3712284
Les Délices d'Antalya,"190 Bd de la Villette, 75019 Paris, France",4.3,288,ChIJmYDdwNht5kcRDahroNeiIr0,48.8819043,2.3705735
Living Food,"54 Rue Albert Thomas, 75010 Paris, France",4.4,216,ChIJsQzdpg5u5kcRKPmLcl1rle0,48.8707425,2.3617149
Los Brothers,"73 Rue St Denis, 75001 Paris, France",4.5,6668,ChIJYYoVlgBv5kcRZkd7xd-BKiI,48.8616721,2.3489203
LÜKS Kebab Créteil,"13 Rue d'Estienne d'Orves, 94000 Créteil, France",4.8,451,ChIJwyoManUN5kcRMTeLtxqGdRw,48.791763,2.46265
LÜKS Kebab Paris 11,"19 Rue Popincourt, 75011 Paris, France",4.6,258,ChIJEzOWXB5t5kcRJAnV_5BXHQo,48.8577455,2.3769356
LÜKS Kebab Paris 13,"6 Rue du Père Guérin, 75013 Paris, France",4.4,4924,ChIJ0Tk7Gotx5kcREtPFlGY3lFc,48.8304986,2.3543762
Mac Doner,"64 Rue de la Pompe, 75016 Paris, France",3.7,343,ChIJfYo64FVl5kcRY7pRdtZAUHE,48.8625615,2.27634
Mac Doner,"49 Bd Voltaire, 75011 Paris, France",2.8,114,ChIJnVmUTlNt5kcRuN8lXef0f_g,48.8624726,2.3726964
Maison Du Kebab,"24 Rue de Dunkerque, 75010 Paris, France",3.6,575,ChIJty3aEGxu5kcRv2bmr4Pu6SE,48.8805329,2.3530619
Mardin Soupe - Çorba salonu,"19 Rue du Faubourg Saint-Denis, 75010 Paris, France",4.6,648,ChIJlydgaBFu5kcR4V19MKwFE-k,48.8705243,2.3529373
Marmara Restaurant Paris 10 - Depuis 1990,"3 R. des Petites Écuries, 75010 Paris, France",3.8,330,ChIJq6p-sRNu5kcRgaSys8ZVcEw,48.872851,2.3538954
Matisse Food Paris,"60 Av. du Général Leclerc, 75014 Paris, France",4.5,861,ChIJKZka4bBx5kcR8c2zyKu_Yi8,48.8299354,2.3284062
Meister,"155 Rue de Crimée, 75019 Paris, France",4.6,643,ChIJR5FrLEtt5kcREqmkoSh5CqE,48.8877771,2.3800086
Meister,"117 Av. Jean Jaurès, 93300 Aubervilliers, France",4.4,154,ChIJr5u0Ikdt5kcRB795i22RITk,48.9069884,2.3953586
Meister,"25 Av. Aristide Briand, 94230 Cachan, France",4.7,734,ChIJvZq2mldx5kcR1HTex3GlwYc,48.800073,2.3236271
Meister,"64 Bd Victor Hugo, 93400 Saint-Ouen-sur-Seine, France",4.3,106,ChIJTQricQBv5kcRyiP9jozuVbU,48.9093544,2.3292586
Meister,"22 Bd de la Liberté, 93260 Les Lilas, France",4.8,257,ChIJ0_DPjKVt5kcRZ7SuywCcYMU,48.8798136,2.4178532
Meister,"25 All. Parmentier, 94000 Créteil, France",4.4,1122,ChIJF3Tr6i9z5kcR1W_6kGIM1aM,48.7865614,2.4451986
Meister Berliner Kebap - CLICHY,"15 Rue de l'Ancienne Mairie, 92110 Clichy, France",4.7,211,ChIJzaYP8Xpv5kcRJAtL_Crftfg,48.9035544,2.3029613
Meister Berliner Kebap - Montparnasse,"37 Bd du Montparnasse, 75006 Paris, France",4.9,299,ChIJj3OKK2lx5kcRuPjHa773v9M,48.8449936,2.3211625
